fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-10,2.51,2.64,-0.13,-4.9242
2022-06-30,2022-08-11,2.02,2.02,0,0
2022-03-31,2022-05-11,1.97,1.82,0.15,8.2418
2021-12-31,2022-02-11,1.71,1.26,0.45,35.7143
2021-09-30,2021-11-10,2.27,1.81,0.46,25.4144
2021-06-30,2021-09-03,3.84,None,None,None
